latitude,longitude,wpd_median,color_wpd_median,ghi_median,color_ghi_median,wpd_mean,color_wpd_mean,ghi_mean,color_ghi_mean,wpd_availability,color_wpd_availability,ghi_availability,color_ghi_availability,wss,color_wss,scw,color_scw,wcs,color_wcs,wind_ep_length,color_wind_ep_length,solar_ep_length,color_solar_ep_length,solar_ep_lull,color_solar_ep_lull,wind_ep_lull,color_wind_ep_lull
12.48,79.2,27.62466,15,489,510,78.96887,75,493.76517,510,9.406392694,10,77.80068729,80,35.11415525,40,33.29908676,40,1.815068493,2,3.567099567,3,9.281420765,10,5.389344262,3,34.20258621,45
12.48,79.32,38.430492,45,496.25,510,88.55489,75,494.83145,510,10.83333333,20,78.28977533,80,34.71461187,40,32.79680365,40,1.917808219,2,3.678294574,3,9.22972973,10,5.335597826,3,30.15444015,45
12.48,79.44,47.711693,45,495.07806,510,98.92935,105,495.2026,510,12.43150685,20,78.8003663,80,34.57762557,40,32.4543379,40,2.123287671,2,4.003676471,3,9.458791209,10,5.34109589,3,28.0952381,15
12.48,79.56,55.162865,45,495.69708,510,104.34371,105,494.05856,510,13.12785388,20,78.70539799,80,33.71004566,40,31.55251142,40,2.157534247,2,3.965517241,3,9.302702703,10,5.298913043,3,26.14776632,15
12.48,79.68,60.701756,75,492.5,510,106.47708,105,491.8775,510,12.92237443,20,78.75057,80,32.93378995,40,31.23287671,40,1.700913242,2,3.593650794,3,9.365853659,10,5.28707483,3,24.13607595,15
12.48,79.8,66.6422,75,495.375,510,108.668144,105,491.49545,510,12.5456621,20,78.60391087,80,32.1803653,40,31.02739726,40,1.152968037,2,3.738095238,3,9.394021739,10,5.292915531,3,25.96610169,15
12.48,79.92,75.14804,75,503,510,117.133675,105,491.9803,510,13.18493151,20,78.82566311,80,32.1803653,40,31.26712329,40,0.913242009,2,3.982758621,3,9.528767123,10,5.285909713,3,26.13058419,15
12.48,80.04,100.0326,105,505.17883,510,146.51541,135,495.42908,510,18.64155251,20,78.60054348,80,33.12785388,40,31.42694064,40,1.700913242,2,5.009202454,3,9.432065217,10,5.273841962,3,21.79204893,15
12.48,92.76,121.85916,135,477.22308,450,255.55003,255,473.22525,450,36.50684932,40,78.87453875,80,28.48173516,30,24.46347032,30,4.01826484,5,24.984375,25,9.245945946,10,5.327445652,3,43.10852713,45
12.48,92.88,118.522285,105,476.0147,450,252.52734,255,472.53772,450,36.25570776,40,78.75922509,80,28.59589041,30,24.50913242,30,4.086757991,5,24.62015504,25,9.313351499,10,5.353342428,3,42.94615385,45
12.6,75,35.812862,45,517.61523,510,72.646355,75,501.50177,510,6.49543379,10,79.97250229,80,33.78995434,40,33.59589041,40,0.194063927,2,3.743421053,3,9.535519126,10,5.262295082,3,53.52941176,45
12.6,75.12,20.157696,15,510.75,510,51.608894,45,493.05267,510,4.052511416,10,79.50481431,80,35.59360731,40,35.57077626,40,0.02283105,2,2.7734375,1,9.449591281,10,5.285129604,3,65.14728682,75
12.6,75.24,11.684359,15,501.75,510,35.83596,45,489.34473,510,1.98630137,10,79.16093535,80,37.48858447,40,37.46575342,40,0.02283105,2,2.071428571,1,9.332432432,10,5.283967391,3,101,105
12.6,75.36,4.6270046,15,503.53027,510,22.052189,15,489.8059,510,0.627853881,10,78.78787879,80,38.55022831,40,38.55022831,40,0,2,1.486486486,1,9.283783784,10,5.308423913,3,229.0526316,225
12.6,75.48,2.1354582,15,505.69708,510,13.357957,15,490.43475,510,0.102739726,10,79.0601244,80,39.07534247,40,39.07534247,40,0,2,1,1,9.278378378,10,5.311141304,3,875,300
12.6,75.6,1.744797,15,492,510,9.821456,15,489.2776,510,0,10,77.92595999,80,38.68721461,40,38.68721461,40,0,2,,,9.061497326,10,5.341891892,3,8759,300
12.6,75.72,3.6320643,15,472,450,14.100828,15,480.2285,510,0.02283105,10,76.30549804,80,37.84246575,40,37.84246575,40,0,2,1,1,8.638020833,7,5.366666667,3,2919,300
12.6,75.84,11.487389,15,469.03967,450,35.292336,45,482.23984,510,2.111872146,10,75.47866205,80,37.53424658,40,36.81506849,40,0.719178082,2,4.743589744,3,8.501298701,7,5.418109188,3,214.35,225
12.6,75.96,29.337353,15,503.05627,510,74.392395,75,504.51062,510,7.933789954,10,77.32316227,80,36.26712329,40,34.53196347,40,1.735159817,2,6.096491228,7,9.021563342,10,5.420624152,3,70.12173913,75
12.6,76.08,36.019592,45,526.66504,510,86.4525,75,514.33484,510,10.4109589,20,79.14167051,80,34.28082192,40,32.84246575,40,1.438356164,2,5.62962963,3,9.320652174,10,5.329700272,3,48.14110429,45
12.6,76.2,38.660267,45,535.3695,510,87.65303,75,516.7461,510,9.885844749,10,79.33179724,80,34.16666667,40,32.69406393,40,1.47260274,2,4.948571429,3,9.412568306,10,5.323770492,3,44.84659091,45
12.6,76.32,45.236145,45,534.5,510,99.063805,105,518.98016,510,11.07305936,20,79.63602856,80,34.37214612,40,32.55707763,40,1.815068493,2,5.187165775,3,9.404891304,10,5.28746594,3,41.43085106,45
12.6,76.44,53.315918,45,546.44446,570,111.627525,105,525.7127,510,12.0890411,20,79.97695853,80,34.7260274,40,32.8652968,40,1.860730594,2,5.724324324,3,9.381081081,10,5.25951087,3,41.39784946,45
12.6,76.56,62.178467,75,548.5,570,121.9987,135,527.5682,510,13.19634703,20,79.86191024,80,34.73744292,40,32.88812785,40,1.849315068,2,5.838383838,3,9.486338798,10,5.286885246,3,38.20603015,45
12.6,76.68,69.653534,75,548,570,132.35565,135,523.7555,510,14.44063927,20,79.55381785,80,34.66894977,40,32.75114155,40,1.917808219,2,6.728723404,7,9.508241758,10,5.316438356,3,39.65079365,45
12.6,76.8,63.432575,75,546.5782,570,136.08502,135,523.75446,510,15.37671233,20,79.67348816,80,35.05707763,40,33.10502283,40,1.952054795,2,7.089473684,7,9.493150685,10,5.30369357,3,38.80628272,45
12.6,76.92,48.85869,45,547.5,570,121.913956,135,522.55536,510,13.96118721,20,79.66919366,80,35.15981735,40,33.50456621,40,1.655251142,2,5.995098039,3,9.449591281,10,5.285129604,3,36.76097561,45
12.6,77.04,41.228416,45,545.35144,570,102.723625,105,522.5719,510,10.75342466,20,79.86669731,80,35.70776256,40,34.23515982,40,1.47260274,2,5.382857143,3,9.46866485,10,5.275579809,3,44.41477273,45
12.6,77.16,41.804085,45,539.5,510,98.62579,105,521.9573,510,9.623287671,10,79.82073087,80,35.82191781,40,34.46347032,40,1.358447489,2,5.582781457,3,9.517808219,10,5.291381669,3,52.07894737,45
12.6,77.28,43.658066,45,532.0491,510,103.41479,105,519.2384,510,10.3652968,20,79.38808374,80,35.55936073,40,34.20091324,40,1.358447489,2,5.896103896,3,9.403269755,10,5.308321965,3,50.6516129,45
